PSWID,SYSTEM_NAME,COUNTY,OWNERSHIP_SDWIS,OWNERSHIP_Corrected,OWNERSHIP_Binary,TYPE_consolidated,SOURCE_SDWIS,Source_Binary,Source_Purchased,POP_TOTAL,LN_POP,CWStype_SDWIS,WQ_REG,VIOLATION_COUNT,COUNT_TCR,TOTAL_VIOLATIONS,INST_CHANGE
CA1009258,SAN ANDREAS FARMS,FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,40,3.688879454,Community,SWRCB-DISTRICT,16,0,16,NO
CA1009281,HAMMONDS RANCH,FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,50,3.912023005,Community,SWRCB-DISTRICT,30,0,30,NO
CA1010013,"HUME LAKE CHRISTIAN CAMPS, INC",FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,2887,7.96797318,Community,SWRCB-DISTRICT,0,0,0,NO
CA1200544,REDCREST WATER WORKS,HUMBOLDT,Private,Private,Nongovernmental,Private,SW,SW,No,100,4.605170186,Community,SWRCB-DISTRICT,4,0,4,NO
CA1200591,BIG LAGOON PARK WATER CO.,HUMBOLDT,Private,Private,Nongovernmental,Private,GW,GW,No,70,4.248495242,Community,SWRCB-DISTRICT,0,0,0,NO
CA1200715,GREEN DIAMOND RESOURCE COMPANY - KORBEL,HUMBOLDT,Private,Private,Nongovernmental,Private,GW,GW,No,250,5.521460918,Community,SWRCB-DISTRICT,0,0,0,NO
CA1200718,WADDINGTON W.W.,HUMBOLDT,Private,Private,Nongovernmental,Private,GW,GW,No,75,4.317488114,Community,SWRCB-DISTRICT,0,0,0,NO
CA1300546,GOLD ROCK RANCH,IMPERIAL,Private,Private,Nongovernmental,Private,GW,GW,No,50,3.912023005,Community,LPA,0,0,0,NO
CA1300620,RIO BEND RV GOLF RESORT & STORM CROSSING,IMPERIAL,Private,Private,Nongovernmental,Private,SW,SW,No,500,6.214608098,Community,LPA,1,0,1,NO
CA1300622,SPORTSMANS PARADISE,IMPERIAL,Private,Private,Nongovernmental,Private,GW,GW,No,60,4.094344562,Community,LPA,0,1,1,NO
CA1300628,IMPERIAL LAKES INC.,IMPERIAL,Private,Private,Nongovernmental,Private,SW,SW,No,40,3.688879454,Community,LPA,0,0,0,NO
CA1300629,JACKSON HIDE-A-WAY,IMPERIAL,Private,Private,Nongovernmental,Private,GW,GW,No,29,3.36729583,Community,LPA,0,0,0,NO
CA1400004,CHARLES BROWN WATER COMPANY,INYO,Private,Private,Nongovernmental,Private,GW,GW,No,242,5.488937726,Community,LPA,0,0,0,NO
CA1400006,PINE CREEK VILLAGE,INYO,Private,Private,Nongovernmental,Private,GW,GW,No,350,5.857933154,Community,LPA,10,1,11,NO
CA1400034,KEOUGH'S HOT SPRINGS,INYO,Private,Private,Nongovernmental,Private,GW,GW,No,75,4.317488114,Community,LPA,5,0,5,NO
CA1400045,PRIMROSE LANE APARTMENTS,INYO,Private,Private,Nongovernmental,Private,GW,GW,No,52,3.951243719,Community,LPA,0,0,0,NO
CA1400511,MEADOW LAKE APARTMENTS,INYO,Private,Private,Nongovernmental,Private,GW,GW,No,35,3.555348061,Community,LPA,0,1,1,NO
CA1500152,MIRASOL COMPANY WATER SYSTEM,KERN,Private,Private,Nongovernmental,Private,GW,GW,No,29,3.36729583,Community,SWRCB-DISTRICT,0,0,0,NO
CA1500216,OPAL FRY AND SON,KERN,Private,Private,Nongovernmental,Private,GW,GW,No,40,3.688879454,Community,SWRCB-DISTRICT,0,0,0,NO
CA1500404,PINEBROOK COMMUNITY WATER WELL,KERN,Private,Private,Nongovernmental,Private,GW,GW,No,84,4.430816799,Community,SWRCB-DISTRICT,0,1,1,NO
