SABL_PWSID,COUNTY,COUNTY_FIXED
CA1100445,GLENN  ,GLENN
CA1110001,GLENN  ,GLENN
CA1100404,GLENN  ,GLENN
CA1100436,GLENN  ,GLENN
CA1100413,GLENN  ,GLENN
CA1100452,GLENN  ,GLENN
CA1100444,GLENN  ,GLENN
CA1100616,GLENN  ,GLENN
CA1100254,GLENN  ,GLENN
CA1100237,GLENN  ,GLENN
CA1100711,GLENN  ,GLENN
CA1100203,GLENN  ,GLENN
CA1110002,GLENN  ,GLENN
CA1110003,GLENN  ,GLENN
CA1210007,HUMBOLDT  ,HUMBOLDT
CA1210019,HUMBOLDT  ,HUMBOLDT
CA1210020,HUMBOLDT  ,HUMBOLDT
CA1200591,HUMBOLDT  ,HUMBOLDT
CA1200544,HUMBOLDT  ,HUMBOLDT
CA1210010,HUMBOLDT  ,HUMBOLDT
CA1210012,HUMBOLDT  ,HUMBOLDT
CA1200687,HUMBOLDT  ,HUMBOLDT
CA1210011,HUMBOLDT  ,HUMBOLDT
CA1200590,HUMBOLDT  ,HUMBOLDT
CA1210024,HUMBOLDT  ,HUMBOLDT
CA1200553,HUMBOLDT  ,HUMBOLDT
CA1200718,HUMBOLDT  ,HUMBOLDT
CA1200518,HUMBOLDT  ,HUMBOLDT
CA1210001,HUMBOLDT  ,HUMBOLDT
CA1200538,HUMBOLDT  ,HUMBOLDT
CA1210006,HUMBOLDT  ,HUMBOLDT
CA1210022,HUMBOLDT  ,HUMBOLDT
CA1200729,HUMBOLDT  ,HUMBOLDT
CA1200701,HUMBOLDT  ,HUMBOLDT
CA1210013,HUMBOLDT  ,HUMBOLDT
CA1210023,HUMBOLDT  ,HUMBOLDT
CA1200566,HUMBOLDT  ,HUMBOLDT
CA1200547,HUMBOLDT  ,HUMBOLDT
CA1206002,HUMBOLDT  ,HUMBOLDT
CA1210002,HUMBOLDT  ,HUMBOLDT
CA1200671,HUMBOLDT  ,HUMBOLDT
CA1210017,HUMBOLDT  ,HUMBOLDT
CA1200541,HUMBOLDT  ,HUMBOLDT
CA1210008,HUMBOLDT  ,HUMBOLDT
CA1210009,HUMBOLDT  ,HUMBOLDT
CA1206004,HUMBOLDT  ,HUMBOLDT
CA1200587,HUMBOLDT  ,HUMBOLDT
CA1210016,HUMBOLDT  ,HUMBOLDT
CA1200501,HUMBOLDT  ,HUMBOLDT
CA1200706,HUMBOLDT  ,HUMBOLDT
CA1200643,HUMBOLDT  ,HUMBOLDT
CA1210021,HUMBOLDT  ,HUMBOLDT
CA1200588,HUMBOLDT  ,HUMBOLDT
CA1200592,HUMBOLDT  ,HUMBOLDT
CA1210015,HUMBOLDT  ,HUMBOLDT
CA1200707,HUMBOLDT  ,HUMBOLDT
CA1210018,HUMBOLDT  ,HUMBOLDT
CA1210004,HUMBOLDT  ,HUMBOLDT
CA1310008,IMPERIAL  ,IMPERIAL
CA1300018,IMPERIAL  ,IMPERIAL
CA1300550,IMPERIAL  ,IMPERIAL
CA1310004,IMPERIAL  ,IMPERIAL
CA1300588,IMPERIAL  ,IMPERIAL
CA1300664,IMPERIAL  ,IMPERIAL
CA1300555,IMPERIAL  ,IMPERIAL
CA1300628,IMPERIAL  ,IMPERIAL
CA1300009,IMPERIAL  ,IMPERIAL
CA1300514,IMPERIAL  ,IMPERIAL
CA1310002,IMPERIAL  ,IMPERIAL
CA1300572,IMPERIAL  ,IMPERIAL
CA1310006,IMPERIAL  ,IMPERIAL
CA1310005,IMPERIAL  ,IMPERIAL
CA1310007,IMPERIAL  ,IMPERIAL
CA1300513,IMPERIAL  ,IMPERIAL
CA1310001,IMPERIAL  ,IMPERIAL
CA1300575,IMPERIAL  ,IMPERIAL
CA1300629,IMPERIAL  ,IMPERIAL
CA1300616,IMPERIAL  ,IMPERIAL
CA1310013,IMPERIAL  ,IMPERIAL
CA1300626,IMPERIAL  ,IMPERIAL
CA1310003,IMPERIAL  ,IMPERIAL
CA1400037,INYO  ,INYO
CA1400020,INYO  ,INYO
CA1400026,INYO  ,INYO
CA1400059,INYO  ,INYO
CA1400072,INYO  ,INYO
CA1400025,INYO  ,INYO
CA1400098,INYO  ,INYO
CA1400155,INYO  ,INYO
CA1410007,INYO  ,INYO
CA1400111,INYO  ,INYO
CA1400066,INYO  ,INYO
CA1400070,INYO  ,INYO
CA1400010,INYO  ,INYO
CA1400002,INYO  ,INYO
CA1400056,INYO  ,INYO
CA1400030,INYO  ,INYO
CA1400144,INYO  ,INYO
CA1410001,INYO  ,INYO
CA1400099,INYO  ,INYO
CA1400109,INYO  ,INYO
CA1400031,INYO  ,INYO
CA1400007,INYO  ,INYO
CA1400110,INYO  ,INYO
CA1400135,INYO  ,INYO
CA1410005,INYO  ,INYO
CA1410006,INYO  ,INYO
CA1400027,INYO  ,INYO
CA1500452,KERN  ,KERN
CA1500485,KERN  ,KERN
CA1500459,KERN  ,KERN
CA1510021,KERN  ,KERN
CA1510028,KERN  ,KERN
CA1510015,KERN  ,KERN
CA1510025,KERN  ,KERN
CA1502569,KERN  ,KERN
CA1500561,KERN  ,KERN
CA1510029,KERN  ,KERN
CA1510006,KERN  ,KERN
CA1502670,KERN  ,KERN
CA1510009,KERN  ,KERN
CA1500324,KERN  ,KERN
CA1510033,KERN  ,KERN
CA1500290,KERN  ,KERN
CA1500542,KERN  ,KERN
CA1500340,KERN  ,KERN
CA1500393,KERN  ,KERN
CA1502622,KERN  ,KERN
CA1510003,KERN  ,KERN
CA1500252,KERN  ,KERN
CA1510055,KERN  ,KERN
CA1510024,KERN  ,KERN
CA1510019,KERN  ,KERN
CA1510005,KERN  ,KERN
CA1500494,KERN  ,KERN
CA1510017,KERN  ,KERN
CA1510013,KERN  ,KERN
CA1500211,KERN  ,KERN
CA1502699,KERN  ,KERN
CA1510032,KERN  ,KERN
CA1510001,KERN  ,KERN
CA1500455,KERN  ,KERN
CA1500546,KERN  ,KERN
CA1502645,KERN  ,KERN
CA1500575,KERN  ,KERN
CA1500540,KERN  ,KERN
CA1500327,KERN  ,KERN
CA1510036,KERN  ,KERN
CA1510007,KERN  ,KERN
CA1502600,KERN  ,KERN
CA1503329,KERN  ,KERN
CA1510043,KERN  ,KERN
CA1500251,KERN  ,KERN
CA1502653,KERN  ,KERN
CA1502465,KERN  ,KERN
CA1500152,KERN  ,KERN
CA1500436,KERN  ,KERN
CA1500556,KERN  ,KERN
CA1503526,KERN  ,KERN
CA1500553,KERN  ,KERN
CA1502750,KERN  ,KERN
CA1500231,KERN  ,KERN
CA1500543,KERN  ,KERN
CA1510002,KERN  ,KERN
CA1510031,KERN  ,KERN
CA1510026,KERN  ,KERN
CA1500336,KERN  ,KERN
CA1500483,KERN  ,KERN
CA1500599,KERN  ,KERN
CA1500314,KERN  ,KERN
CA1510042,KERN  ,KERN
CA1500489,KERN  ,KERN
CA1500466,KERN  ,KERN
CA1503475,KERN  ,KERN
CA1500535,KERN  ,KERN
CA1510020,KERN  ,KERN
CA1510018,KERN  ,KERN
CA1502564,KERN  ,KERN
CA1510027,KERN  ,KERN
CA1500349,KERN  ,KERN
CA1500557,KERN  ,KERN
